enabled,marketplace,product_line,key,url,notes
true,BR,TV,main,https://www.magazineluiza.com.br/busca/tv/,Magazine Luiza TV search seed
true,BR,LDY,main,https://www.magazineluiza.com.br/busca/lavadora/,Magazine Luiza washer search seed
